url,label
https://www.google.com/search?q=python+programming,0
https://www.google.com/search?q=python+programming?ref=home&utm_source=google,0
https://www.wikipedia.org/wiki/Machine_learning,0
http://netflix-account-verify.xyz/billing/update,1
http://amazon-verify-account.xyz/signin/,1
http://bank-of-america-secure.ml/online-banking/login&token=917a3a88,1
http://paypal-secure-login.tk/update/account/verify?id=abc123&token=3c75692c,1
http://bank-of-america-secure.ml/online-banking/login,1
https://github.com/tensorflow/tensorflow,0
http://google-account-verify.tk/signin/auth,1
http://netflix-account-verify.xyz/billing/update&token=e52308a0,1
https://stackoverflow.com/questions/123456/python-list?ref=home&utm_source=google,0
http://paypal-secure-login.tk/update/account/verify?id=abc123,1
http://google-account-verify.tk/signin/auth&token=5168dd81,1
http://amazon-verify-account.xyz/signin/&token=bc76a259,1
https://stackoverflow.com/questions/123456/python-list,0
https://www.wikipedia.org/wiki/Machine_learning?ref=home&utm_source=google,0
